12345678	0	12345678
12345687	1	12345687
12345768	2	12345768
12345786	3	12345786
12345867	4	12345867
12345876	5	12345876
12346578	6	12346578
12346587	7	12346587
12346758	8	12346758
12346785	9	12346785
12346857	10	12346857
12346875	11	12346875
12347568	12	12347568
12347586	13	12347586
12347658	14	12347658
12347685	15	12347685
12347856	16	12347856
12347865	17	12347865
12348567	18	12348567
12348576	19	12348576
12348657	20	12348657
12348675	21	12348675
12348756	22	12348756
12348765	23	12348765
12354678	24	12354678
12354687	25	12354687
12354768	26	12354768
12354786	27	12354786
12354867	28	12354867
12354876	29	12354876
12356478	30	12356478
12356487	31	12356487
12356748	32	12356748
12356784	33	12356784
12356847	34	12356847
12356874	35	12356874
12357468	36	12357468
12357486	37	12357486
12357648	38	12357648
12357684	39	12357684
12357846	40	12357846
12357864	41	12357864
12358467	42	12358467
12358476	43	12358476
12358647	44	12358647
12358674	45	12358674
12358746	46	12358746
12358764	47	12358764
12364578	48	12364578
12364587	49	12364587
12364758	50	12364758
12364785	51	12364785
12364857	52	12364857
12364875	53	12364875
12365478	54	12365478
12365487	55	12365487
12365748	56	12365748
12365784	57	12365784
12365847	58	12365847
12365874	59	12365874
12367458	60	12367458
12367485	61	12367485
12367548	62	12367548
12367584	63	12367584
12367845	64	12367845
12367854	65	12367854
12368457	66	12368457
12368475	67	12368475
12368547	68	12368547
12368574	69	12368574
12368745	70	12368745
12368754	71	12368754
12374568	72	12374568
12374586	73	12374586
12374658	74	12374658
12374685	75	12374685
12374856	76	12374856
12374865	77	12374865
12375468	78	12375468
12375486	79	12375486
12375648	80	12375648
12375684	81	12375684
12375846	82	12375846
12375864	83	12375864
12376458	84	12376458
12376485	85	12376485
12376548	86	12376548
12376584	87	12376584
12376845	88	12376845
12376854	89	12376854
12378456	90	12378456
12378465	91	12378465
12378546	92	12378546
12378564	93	12378564
12378645	94	12378645
12378654	95	12378654
12384567	96	12384567
12384576	97	12384576
12384657	98	12384657
12384675	99	12384675
12384756	100	12384756
12384765	101	12384765
12385467	102	12385467
12385476	103	12385476
12385647	104	12385647
12385674	105	12385674
12385746	106	12385746
12385764	107	12385764
12386457	108	12386457
12386475	109	12386475
12386547	110	12386547
12386574	111	12386574
12386745	112	12386745
12386754	113	12386754
12387456	114	12387456
12387465	115	12387465
12387546	116	12387546
12387564	117	12387564
12387645	118	12387645
12387654	119	12387654
12435678	120	12435678
12435687	121	12435687
12435768	122	12435768
12435786	123	12435786
12435867	124	12435867
12435876	125	12435876
12436578	126	12436578
12436587	127	12436587
12436758	128	12436758
12436785	129	12436785
12436857	130	12436857
12436875	131	12436875
12437568	132	12437568
12437586	133	12437586
12437658	134	12437658
12437685	135	12437685
12437856	136	12437856
12437865	137	12437865
12438567	138	12438567
12438576	139	12438576
12438657	140	12438657
12438675	141	12438675
12438756	142	12438756
12438765	143	12438765
12453678	144	12453678
12453687	145	12453687
12453768	146	12453768
12453786	147	12453786
12453867	148	12453867
12453876	149	12453876
12456378	150	12456378
12456387	151	12456387
12456738	152	12456738
12456783	153	12456783
12456837	154	12456837
12456873	155	12456873
12457368	156	12457368
12457386	157	12457386
12457638	158	12457638
12457683	159	12457683
12457836	160	12457836
12457863	161	12457863
12458367	162	12458367
12458376	163	12458376
12458637	164	12458637
12458673	165	12458673
12458736	166	12458736
12458763	167	12458763
12463578	168	12463578
12463587	169	12463587
12463758	170	12463758
12463785	171	12463785
12463857	172	12463857
12463875	173	12463875
12465378	174	12465378
12465387	175	12465387
12465738	176	12465738
12465783	177	12465783
12465837	178	12465837
12465873	179	12465873
12467358	180	12467358
12467385	181	12467385
12467538	182	12467538
12467583	183	12467583
12467835	184	12467835
12467853	185	12467853
12468357	186	12468357
12468375	187	12468375
12468537	188	12468537
12468573	189	12468573
12468735	190	12468735
12468753	191	12468753
12473568	192	12473568
12473586	193	12473586
12473658	194	12473658
12473685	195	12473685
12473856	196	12473856
12473865	197	12473865
12475368	198	12475368
12475386	199	12475386
12475638	200	12475638
12475683	201	12475683
12475836	202	12475836
12475863	203	12475863
12476358	204	12476358
12476385	205	12476385
12476538	206	12476538
12476583	207	12476583
12476835	208	12476835
12476853	209	12476853
12478356	210	12478356
12478365	211	12478365
12478536	212	12478536
12478563	213	12478563
12478635	214	12478635
12478653	215	12478653
12483567	216	12483567
12483576	217	12483576
12483657	218	12483657
12483675	219	12483675
